"263_S5"	"265_S6"	"268_S4"	"276_S2"	"277_S3"	"287_S1"
"ENSMUSG00000036676"	17	270	23	316	282	168
"ENSMUSG00000019971"	22	680	103	256	0	93
"ENSMUSG00000046567"	4	25	8	15	0	2
"ENSMUSG00000044921"	42	0	0	16	0	0
"ENSMUSG00000036602"	0	1	53	0	0	0
"ENSMUSG00000019892"	6	0	0	0	0	0
"ENSMUSG00000019894"	11	0	30	0	0	85
"ENSMUSG00000036019"	1	12	6	46	0	121
"ENSMUSG00000112193"	0	0	0	29	0	0
"ENSMUSG00000112512"	0	0	0	0	0	52
"ENSMUSG00000084399"	0	0	0	0	68	16
"ENSMUSG00000085282"	0	0	0	0	0	2
"ENSMUSG00000036009"	8	104	20	28	1	0
"ENSMUSG00000019897"	29	400	2	113	243	248
"ENSMUSG00000111914"	0	0	5	0	0	0
"ENSMUSG00000053825"	0	72	0	5	0	259
"ENSMUSG00000035948"	0	0	0	29	329	13
"ENSMUSG00000112466"	15	48	0	0	0	59
"ENSMUSG00000019906"	0	0	0	0	0	16
"ENSMUSG00000000435"	0	0	0	60	2	49
"ENSMUSG00000035923"	0	0	0	4	0	0
"ENSMUSG00000019907"	127	645	482	430	331	1024
"ENSMUSG00000035873"	1	181	0	0	0	6
"ENSMUSG00000065653"	0	0	0	0	0	8
"ENSMUSG00000112532"	9	0	0	0	0	0
"ENSMUSG00000112039"	0	0	7	0	0	0
"ENSMUSG00000020181"	27	240	0	42	108	213
"ENSMUSG00000020185"	20	0	12	12	0	0
"ENSMUSG00000020186"	18	125	333	58	275	216
"ENSMUSG00000035798"	6	0	52	266	22	343
"ENSMUSG00000091086"	4	7	21	8	3	8
"ENSMUSG00000088553"	0	0	26	0	0	0
"ENSMUSG00000020189"	24	282	169	57	101	132
"ENSMUSG00000112642"	0	0	9	0	0	0
"ENSMUSG00000035759"	23	0	2	2	0	3
"ENSMUSG00000058799"	156	764	531	493	788	665
"ENSMUSG00000111997"	0	1	1	7	0	1
"ENSMUSG00000020205"	203	1620	582	914	1031	1103
"ENSMUSG00000063334"	66	211	98	71	0	107
"ENSMUSG00000056888"	29	6	0	48	0	15
"ENSMUSG00000112722"	0	0	0	30	0	36
"ENSMUSG00000074748"	19	250	17	242	252	253
"ENSMUSG00000112750"	0	0	2	0	0	0
"ENSMUSG00000112438"	0	0	27	0	0	0
"ENSMUSG00000020130"	170	1029	36	476	1256	483
"ENSMUSG00000111964"	0	3	60	14	18	16
"ENSMUSG00000020132"	43	285	198	172	90	250
"ENSMUSG00000112301"	0	0	3	0	0	0
"ENSMUSG00000069520"	53	265	4	225	0	165
"ENSMUSG00000020137"	6	36	8	21	202	229
"ENSMUSG00000034163"	35	130	111	20	28	335
"ENSMUSG00000112822"	1	48	0	0	0	15
"ENSMUSG00000020140"	0	1	0	0	0	185
"ENSMUSG00000112099"	2	1	236	1	4	1
"ENSMUSG00000034127"	16	2	172	20	0	2
"ENSMUSG00000020166"	48	389	422	404	201	378
"ENSMUSG00000052291"	0	0	0	0	0	9
"ENSMUSG00000064181"	5	0	0	0	0	5
"ENSMUSG00000112627"	14	0	0	5	20	92
"ENSMUSG00000111966"	1	4	116	4	1	2
"ENSMUSG00000020169"	0	63	0	0	0	0
"ENSMUSG00000034024"	84	621	1327	549	238	314
"ENSMUSG00000020170"	15	220	28	52	6	24
"ENSMUSG00000020171"	17	1	100	116	0	79
"ENSMUSG00000069516"	671	599	11145	5115	6921	2317
"ENSMUSG00000069515"	7	0	0	0	0	0
"ENSMUSG00000055531"	283	670	1597	736	685	1335
"ENSMUSG00000020183"	44	208	62	30	0	356
"ENSMUSG00000020184"	81	242	452	815	621	887
"ENSMUSG00000060181"	27	162	23	31	55	24
"ENSMUSG00000052798"	36	229	299	503	0	84
"ENSMUSG00000052681"	179	1032	1073	535	579	709
"ENSMUSG00000020212"	17	18	0	48	0	118
"ENSMUSG00000112614"	0	0	26	0	0	0
"ENSMUSG00000028630"	3	229	29	89	0	256
"ENSMUSG00000104443"	0	0	0	0	0	23
"ENSMUSG00000112683"	0	2	2	1	2	1
"ENSMUSG00000020114"	149	437	1042	271	144	1314
"ENSMUSG00000020228"	41	188	0	40	401	52
"ENSMUSG00000020227"	1	24	228	158	0	103
"ENSMUSG00000112894"	0	29	0	0	0	0
"ENSMUSG00000020225"	45	488	227	210	135	410
"ENSMUSG00000020224"	21	50	11	110	65	181
"ENSMUSG00000056758"	3	0	26	1	0	19
"ENSMUSG00000034764"	5	0	0	7	0	9
"ENSMUSG00000111907"	0	1	0	0	0	5
"ENSMUSG00000051236"	3	56	6	76	322	114
"ENSMUSG00000087480"	0	0	0	0	0	20
"ENSMUSG00000048661"	0	80	0	0	0	13
"ENSMUSG00000082936"	0	24	8	0	0	0
"ENSMUSG00000020218"	1059	9038	40	2762	3820	3959
"ENSMUSG00000052302"	1	0	10	0	0	0
"ENSMUSG00000111940"	1	1	0	0	2	1
"ENSMUSG00000034707"	60	2139	18	435	3	357
"ENSMUSG00000025795"	13	75	0	153	0	5
"ENSMUSG00000112009"	0	0	0	2	0	0
"ENSMUSG00000020115"	5	194	182	125	254	162
"ENSMUSG00000034667"	198	3	107	277	418	314
"ENSMUSG00000053684"	0	2	2	0	0	0
"ENSMUSG00000020121"	16	18	35	19	0	98
"ENSMUSG00000034620"	20	59	2	189	21	165
"ENSMUSG00000098138"	0	0	0	1	0	1
"ENSMUSG00000020123"	0	763	67	207	0	305
"ENSMUSG00000034613"	0	35	0	1	0	63
"ENSMUSG00000112237"	3	1	0	1	6	0
"ENSMUSG00000034602"	17	198	795	382	434	194
"ENSMUSG00000020124"	124	174	1211	570	979	310
"ENSMUSG00000112364"	0	0	34	0	0	0
"ENSMUSG00000020102"	24	112	0	100	0	76
"ENSMUSG00000020105"	15	17	27	54	0	315
"ENSMUSG00000025436"	0	0	1	15	0	0
"ENSMUSG00000112423"	0	0	17	0	0	0
"ENSMUSG00000078429"	24	706	5	618	526	347
"ENSMUSG00000025432"	0	4	0	4	0	0
"ENSMUSG00000040521"	18	10	31	113	57	167
"ENSMUSG00000080115"	1	4	2	1	0	1
"ENSMUSG00000006732"	52	260	11	191	64	113
"ENSMUSG00000006728"	205	587	205	806	298	657
"ENSMUSG00000006736"	98	845	1	330	849	829
"ENSMUSG00000112639"	1	2	0	20	0	0
"ENSMUSG00000025422"	0	3	130	9	0	6
"ENSMUSG00000040462"	277	1797	19	1123	1804	2153
"ENSMUSG00000006731"	9	149	167	409	321	468
"ENSMUSG00000040441"	0	0	0	0	0	37
"ENSMUSG00000019467"	23	414	0	249	0	391
"ENSMUSG00000040415"	53	225	281	174	0	594
"ENSMUSG00000097331"	1	0	0	12	0	8
"ENSMUSG00000025417"	46	432	30	161	73	393
"ENSMUSG00000074657"	10	88	271	125	0	136
"ENSMUSG00000025410"	92	616	203	615	742	482
"ENSMUSG00000025409"	24	81	255	336	21	191
"ENSMUSG00000092384"	0	0	0	0	0	12
"ENSMUSG00000025408"	28	173	63	84	101	220
"ENSMUSG00000040354"	60	673	596	201	1112	679
"ENSMUSG00000040345"	22	2	107	171	135	0
"ENSMUSG00000025407"	18	8	0	116	0	53
"ENSMUSG00000025404"	5	54	2	257	178	213
"ENSMUSG00000040280"	257	1060	5	911	1666	1759
"ENSMUSG00000025403"	135	215	344	563	98	309
"ENSMUSG00000040258"	0	112	0	116	218	81
"ENSMUSG00000040249"	309	2269	202	2095	1742	3926
"ENSMUSG00000002147"	31	680	648	1044	389	870
"ENSMUSG00000025402"	11	103	25	154	60	99
"ENSMUSG00000040195"	16	35	0	43	0	105
"ENSMUSG00000025401"	0	0	0	0	0	23
"ENSMUSG00000025400"	3	0	25	0	0	0
"ENSMUSG00000058396"	0	0	0	46	0	0
"ENSMUSG00000054052"	0	0	1	0	2	0
"ENSMUSG00000112909"	2	9	18	1	4	4
"ENSMUSG00000025395"	39	2	163	334	0	23
"ENSMUSG00000061315"	398	663	605	1104	1458	1126
"ENSMUSG00000071072"	194	714	757	644	760	707
"ENSMUSG00000025393"	541	2266	6973	2628	3431	2750
"ENSMUSG00000040054"	97	468	200	111	602	605
"ENSMUSG00000040043"	40	252	80	351	203	350
"ENSMUSG00000044005"	0	1	46	0	0	0
"ENSMUSG00000051346"	30	20	42	45	0	38
"ENSMUSG00000025389"	0	0	17	0	0	0
"ENSMUSG00000039994"	22	6	51	237	0	86
"ENSMUSG00000040033"	16	765	3	83	470	510
"ENSMUSG00000025383"	0	1	0	0	5	0
"ENSMUSG00000064948"	0	0	0	0	4	0
"ENSMUSG00000005682"	15	60	54	104	90	263
"ENSMUSG00000025381"	31	456	184	244	20	306
"ENSMUSG00000005683"	113	1021	1329	515	823	986
"ENSMUSG00000039914"	12	0	3	15	21	34
"ENSMUSG00000014498"	0	0	43	83	121	28
"ENSMUSG00000090761"	0	22	46	11	18	17
"ENSMUSG00000025374"	17	1	6	120	88	74
"ENSMUSG00000025373"	12	226	396	61	31	345
"ENSMUSG00000025369"	155	601	521	520	382	1224
"ENSMUSG00000090841"	188	1428	591	1395	1074	2524
"ENSMUSG00000039824"	0	3	85	14	1	1
"ENSMUSG00000025366"	27	144	293	306	169	643
"ENSMUSG00000100548"	0	1	55	0	0	0
"ENSMUSG00000039810"	5	66	0	61	0	53
"ENSMUSG00000093674"	112	613	206	377	321	495
"ENSMUSG00000025364"	168	321	1575	365	277	663
"ENSMUSG00000018166"	0	1	28	0	0	131
"ENSMUSG00000112068"	0	11	1	1	2	3
"ENSMUSG00000025362"	78	181	32	105	126	229
"ENSMUSG00000002578"	5	127	0	12	0	71
"ENSMUSG00000097372"	1	0	0	1	0	0
"ENSMUSG00000049858"	41	585	20	122	273	104
"ENSMUSG00000118400"	0	3	40	1	1	0
"ENSMUSG00000000711"	47	370	81	672	1252	504
"ENSMUSG00000025358"	44	395	153	323	163	198
"ENSMUSG00000025359"	0	0	0	0	0	4
"ENSMUSG00000025357"	3	1	234	78	0	178
"ENSMUSG00000064030"	6	29	5	0	0	43
"ENSMUSG00000045055"	4	8	5	9	4	8
"ENSMUSG00000112429"	0	0	0	0	0	8
"ENSMUSG00000025355"	0	194	0	0	0	16
"ENSMUSG00000047090"	0	0	0	0	163	38
"ENSMUSG00000025354"	92	342	265	120	690	490
"ENSMUSG00000078427"	73	511	49	299	676	472
"ENSMUSG00000025353"	7	54	54	72	31	89
"ENSMUSG00000025352"	1	157	1	3	1	4
"ENSMUSG00000025351"	448	5163	180	2594	2482	4798
"ENSMUSG00000025350"	3	11	2	2	0	30
"ENSMUSG00000090247"	0	28	2	5	2	4
"ENSMUSG00000025348"	0	0	1	138	0	144
"ENSMUSG00000049573"	0	60	0	0	0	0
"ENSMUSG00000112742"	0	0	0	20	0	0
"ENSMUSG00000096755"	0	0	36	1	1	0
"ENSMUSG00000005534"	7	97	0	164	212	163
"ENSMUSG00000004568"	6	55	81	12	184	17
"ENSMUSG00000069633"	1	0	0	1	0	27
"ENSMUSG00000047264"	4	31	0	0	53	143
"ENSMUSG00000004567"	46	242	42	416	149	358
"ENSMUSG00000004565"	29	83	0	41	368	156
"ENSMUSG00000044433"	0	53	0	43	0	0
"ENSMUSG00000019470"	23	331	554	296	865	536
"ENSMUSG00000087687"	4	63	0	11	35	11
"ENSMUSG00000004626"	34	5	603	265	201	185
"ENSMUSG00000013974"	8	105	321	439	56	1
"ENSMUSG00000040236"	25	21	213	203	262	192
"ENSMUSG00000005540"	0	1	1	116	0	0
"ENSMUSG00000097657"	0	0	17	1	1	1
"ENSMUSG00000109255"	0	15	49	3	0	0
"ENSMUSG00000074482"	0	3	31	0	3	1
"ENSMUSG00000086805"	0	0	0	0	0	17
"ENSMUSG00000011832"	9	34	0	81	0	334
"ENSMUSG00000064125"	0	0	0	36	0	2
"ENSMUSG00000046589"	0	0	0	24	0	50
"ENSMUSG00000002948"	54	146	0	234	116	141
"ENSMUSG00000089736"	7	0	0	0	0	0
"ENSMUSG00000011837"	19	150	0	74	0	142
"ENSMUSG00000048644"	1	0	0	19	0	44
"ENSMUSG00000002949"	79	256	11	102	398	202
"ENSMUSG00000040028"	176	464	42	370	156	158
"ENSMUSG00000023235"	0	134	0	0	0	159
"ENSMUSG00000109241"	5	21	20	18	20	16
"ENSMUSG00000108860"	0	0	1	0	0	1
"ENSMUSG00000008206"	0	4	0	121	0	60
"ENSMUSG00000058748"	1	1	0	8	0	23
"ENSMUSG00000109489"	1	0	2	4	2	0
"ENSMUSG00000109448"	0	0	3	0	0	0
"ENSMUSG00000048484"	0	0	0	0	0	4
"ENSMUSG00000022322"	0	0	42	191	361	3
"ENSMUSG00000109462"	0	0	7	0	0	0
"ENSMUSG00000095600"	3	3	4	1	4	3
"ENSMUSG00000109295"	0	0	7	0	0	0
"ENSMUSG00000109181"	0	0	10	0	0	0
"ENSMUSG00000109266"	0	1	59	0	0	0
"ENSMUSG00000043192"	3	8	103	17	18	14
"ENSMUSG00000001300"	1	6	32	24	0	34
"ENSMUSG00000109438"	0	37	0	0	0	0
"ENSMUSG00000040459"	13	183	558	44	4	49
"ENSMUSG00000109529"	3	0	0	0	0	0
"ENSMUSG00000049717"	33	255	0	7	0	0
"ENSMUSG00000040396"	4	123	25	62	0	1
"ENSMUSG00000031497"	14	5	0	1	0	0
"ENSMUSG00000096258"	0	0	3	0	0	0
"ENSMUSG00000109089"	0	26	0	0	0	20
"ENSMUSG00000038917"	0	0	0	0	0	16
"ENSMUSG00000038894"	14	112	4	45	268	177
"ENSMUSG00000031502"	89	248	0	405	0	641
"ENSMUSG00000031503"	105	1297	0	367	1084	872
"ENSMUSG00000031504"	4	83	0	113	0	21
"ENSMUSG00000096957"	5	0	0	62	38	1
"ENSMUSG00000031505"	38	57	239	182	276	252
"ENSMUSG00000056228"	0	66	0	88	268	56
"ENSMUSG00000045969"	8	66	23	120	185	155
"ENSMUSG00000031508"	118	416	23	472	463	237
"ENSMUSG00000109933"	1	1	13	1	2	0
"ENSMUSG00000110177"	0	0	14	0	0	0
"ENSMUSG00000110313"	0	0	3	0	0	0
"ENSMUSG00000031511"	34	392	18	97	318	571
"ENSMUSG00000109921"	0	0	69	0	0	0
"ENSMUSG00000000759"	58	77	365	240	673	496
"ENSMUSG00000031441"	57	218	0	344	6	130
"ENSMUSG00000031442"	2	9	0	44	303	62
"ENSMUSG00000031443"	0	0	0	0	1	16
"ENSMUSG00000031444"	0	1	95	0	127	2
"ENSMUSG00000091443"	1	0	0	4	0	0
"ENSMUSG00000038542"	28	344	407	115	0	148
"ENSMUSG00000031446"	101	35	89	378	226	446
"ENSMUSG00000031447"	110	3808	15	246	418	369
"ENSMUSG00000038515"	0	132	2	0	0	0
"ENSMUSG00000038506"	32	8	0	53	11	355
"ENSMUSG00000089026"	0	0	0	5	0	0
"ENSMUSG00000107742"	0	0	0	9	0	0
"ENSMUSG00000038497"	41	896	229	624	91	777
"ENSMUSG00000038482"	90	480	345	523	0	288
"ENSMUSG00000031450"	0	0	0	0	14	0
"ENSMUSG00000038457"	0	3	0	49	0	2
"ENSMUSG00000031451"	338	12236	0	3815	1496	6475
"ENSMUSG00000110278"	0	0	0	0	0	8
"ENSMUSG00000031452"	0	0	0	8	0	10
"ENSMUSG00000031453"	47	829	524	1048	73	1130
"ENSMUSG00000109617"	0	1	17	0	0	0
"ENSMUSG00000038416"	92	869	494	403	215	648
"ENSMUSG00000038398"	59	438	0	190	116	430
"ENSMUSG00000047710"	6	241	0	187	180	66
"ENSMUSG00000031458"	0	40	0	17	0	0
"ENSMUSG00000038365"	49	80	2	64	2	141
"ENSMUSG00000050052"	12	0	0	85	0	0
"ENSMUSG00000051978"	10	36	0	111	110	95
"ENSMUSG00000085371"	0	0	19	0	0	0
"ENSMUSG00000026317"	46	192	0	163	448	328
"ENSMUSG00000071176"	47	329	0	72	246	56
"ENSMUSG00000055675"	13	188	0	86	0	1
"ENSMUSG00000031461"	0	0	14	0	0	0
"ENSMUSG00000109748"	0	22	0	0	0	0
"ENSMUSG00000060924"	8	393	1	108	81	97
"ENSMUSG00000110132"	0	0	0	12	0	9
"ENSMUSG00000109625"	0	0	0	0	5	65
"ENSMUSG00000039842"	19	1	0	128	1	113
"ENSMUSG00000090334"	0	0	17	0	0	0
"ENSMUSG00000031465"	11	207	0	171	0	286
"ENSMUSG00000031467"	57	129	11	66	1	584
"ENSMUSG00000109784"	0	0	0	0	0	12
"ENSMUSG00000081094"	14	64	45	76	71	91
"ENSMUSG00000081920"	0	0	3	0	0	0
"ENSMUSG00000087153"	2	19	16	8	7	25
"ENSMUSG00000110669"	0	7	4	29	22	31
"ENSMUSG00000110649"	9	0	0	44	0	33
"ENSMUSG00000094421"	0	0	0	2	0	0
"ENSMUSG00000110458"	1	9	22	16	9	20
"ENSMUSG00000096401"	0	6	4	18	15	21
"ENSMUSG00000071796"	5	12	5	9	3	70
"ENSMUSG00000071793"	10	39	4	56	31	44
"ENSMUSG00000095766"	1	0	0	0	0	1
"ENSMUSG00000095403"	11	12	4	44	2	21
"ENSMUSG00000096890"	0	0	0	0	18	0
"ENSMUSG00000006567"	23	1	0	192	143	1
"ENSMUSG00000063362"	0	1	20	134	304	162
"ENSMUSG00000037738"	0	0	48	0	0	86
"ENSMUSG00000031478"	0	0	11	0	0	85
"ENSMUSG00000037725"	0	1	81	149	4	58
"ENSMUSG00000031479"	5	382	226	587	450	93
"ENSMUSG00000031480"	0	0	0	8	0	0
"ENSMUSG00000090007"	0	0	14	0	0	0
"ENSMUSG00000031482"	0	429	26	118	1	3
"ENSMUSG00000099825"	0	0	0	35	0	0
"ENSMUSG00000110129"	4	63	0	0	0	0
"ENSMUSG00000031533"	31	1	82	30	0	270
"ENSMUSG00000031534"	4	103	1	0	27	148
"ENSMUSG00000037656"	46	1059	0	70	0	112
"ENSMUSG00000097042"	0	0	0	8	0	95
"ENSMUSG00000008892"	148	607	292	470	547	840
"ENSMUSG00000031536"	68	435	37	212	367	210
"ENSMUSG00000031537"	120	345	168	277	333	378
"ENSMUSG00000031538"	65	1093	0	426	951	772
"ENSMUSG00000031539"	2	0	30	164	144	64
"ENSMUSG00000031540"	37	223	38	441	531	259
"ENSMUSG00000109652"	0	117	0	12	0	97
"ENSMUSG00000031543"	14	1	245	128	133	9
"ENSMUSG00000083285"	2	0	0	0	0	0
"ENSMUSG00000086741"	1	0	0	0	0	14
"ENSMUSG00000031545"	99	588	545	451	337	1253
"ENSMUSG00000031546"	30	51	229	93	222	131
"ENSMUSG00000015341"	118	495	265	278	824	428
"ENSMUSG00000110256"	0	4	0	10	0	0
"ENSMUSG00000031548"	0	879	0	48	0	263
"ENSMUSG00000056313"	0	0	0	0	0	27
"ENSMUSG00000037437"	0	0	57	0	0	0
"ENSMUSG00000031555"	30	1096	18	143	664	150
"ENSMUSG00000031556"	88	646	166	445	686	643
"ENSMUSG00000037406"	33	527	0	60	3	99
"ENSMUSG00000031557"	10	365	3	174	424	296
"ENSMUSG00000110148"	0	28	0	28	0	3
"ENSMUSG00000065954"	75	1719	382	917	300	1466
"ENSMUSG00000074412"	3	17	35	29	31	31
"ENSMUSG00000031565"	278	2430	46	1736	1886	3016
"ENSMUSG00000086134"	0	4	0	20	39	6
"ENSMUSG00000037363"	17	26	0	26	226	78
"ENSMUSG00000110038"	0	0	0	0	18	2
"ENSMUSG00000043794"	5	8	0	19	0	44
"ENSMUSG00000054823"	82	347	836	474	666	362
"ENSMUSG00000084543"	0	0	0	0	0	3
"ENSMUSG00000088176"	3	50	0	0	0	14
"ENSMUSG00000110088"	0	0	0	0	0	9
"ENSMUSG00000109679"	0	16	0	19	0	0
"ENSMUSG00000031570"	21	585	0	75	326	430
"ENSMUSG00000061313"	22	155	0	209	396	208
"ENSMUSG00000091514"	0	0	0	0	60	0
"ENSMUSG00000037316"	34	458	1	0	1	54
"ENSMUSG00000037296"	3	159	42	160	0	78
"ENSMUSG00000031575"	8	381	69	93	0	444
"ENSMUSG00000037260"	122	567	108	448	301	692
"ENSMUSG00000037251"	40	242	0	272	0	425
"ENSMUSG00000015994"	119	1001	136	348	381	531
"ENSMUSG00000037234"	115	952	36	702	985	773
"ENSMUSG00000109640"	12	3	0	0	0	0
"ENSMUSG00000013878"	26	83	5	0	135	45
"ENSMUSG00000110120"	1	0	0	0	0	5
"ENSMUSG00000110317"	0	0	0	0	32	0
"ENSMUSG00000037214"	22	156	2	0	2	183
"ENSMUSG00000109680"	0	0	0	0	0	11
"ENSMUSG00000100335"	0	0	0	0	0	6
"ENSMUSG00000085795"	31	74	0	110	0	261
"ENSMUSG00000109603"	0	103	0	29	0	0
"ENSMUSG00000031483"	76	727	462	350	0	714
"ENSMUSG00000031485"	60	497	310	172	127	224
"ENSMUSG00000031486"	7	346	0	207	163	101
"ENSMUSG00000031487"	4	11	8	88	0	118
"ENSMUSG00000031488"	6	88	55	111	47	44
"ENSMUSG00000109719"	0	0	0	0	0	30
"ENSMUSG00000031489"	0	146	0	0	0	0
"ENSMUSG00000031490"	44	100	93	112	146	245
"ENSMUSG00000110372"	0	0	2	0	0	0
"ENSMUSG00000110331"	2	11	106	1	4	3
"ENSMUSG00000039661"	0	0	19	0	0	0
"ENSMUSG00000039328"	19	449	0	133	190	37
"ENSMUSG00000088252"	0	0	0	1	0	2
"ENSMUSG00000031577"	0	0	0	92	110	55
"ENSMUSG00000031578"	23	92	10	56	115	61
"ENSMUSG00000046152"	48	35	0	0	0	113
"ENSMUSG00000093862"	0	0	0	0	0	2
"ENSMUSG00000083557"	2	0	4	0	0	12
"ENSMUSG00000031583"	61	223	9	122	562	305
"ENSMUSG00000049184"	0	0	63	30	0	15
"ENSMUSG00000109750"	0	1	13	0	0	0
"ENSMUSG00000009628"	1	0	1	0	0	44
"ENSMUSG00000009630"	9	108	41	64	17	60
"ENSMUSG00000052906"	9	471	1	284	133	341
"ENSMUSG00000031584"	57	727	119	1005	247	383
"ENSMUSG00000088856"	0	0	0	17	0	0
"ENSMUSG00000031585"	50	304	60	205	13	259
"ENSMUSG00000031586"	7	60	0	1	0	27
"ENSMUSG00000097442"	0	5	0	0	0	1
"ENSMUSG00000031516"	48	275	0	104	0	246
"ENSMUSG00000063412"	5	11	23	9	3	6
"ENSMUSG00000031513"	6	575	29	254	219	593
"ENSMUSG00000031532"	237	1453	277	1343	1064	1712
"ENSMUSG00000098785"	0	0	0	0	0	9
"ENSMUSG00000098046"	0	0	10	0	0	0
"ENSMUSG00000031530"	0	87	24	0	0	40
"ENSMUSG00000031529"	3	206	15	11	92	209
"ENSMUSG00000110361"	0	4	3	1	0	5
"ENSMUSG00000046794"	0	6	1	610	0	136
"ENSMUSG00000031527"	14	43	0	287	538	143
"ENSMUSG00000070056"	19	149	57	215	0	73
"ENSMUSG00000098181"	0	1	9	0	0	2
"ENSMUSG00000050271"	6	0	0	65	0	32
"ENSMUSG00000039633"	2	0	5	23	0	48
"ENSMUSG00000098154"	0	0	0	1	1	1
"ENSMUSG00000039620"	0	15	0	86	0	0
"ENSMUSG00000031523"	156	1324	76	650	982	1303
"ENSMUSG00000074384"	0	31	0	0	0	0
"ENSMUSG00000110415"	0	0	8	0	0	0
"ENSMUSG00000039530"	30	183	112	195	726	236
"ENSMUSG00000110118"	0	0	12	0	0	1
"ENSMUSG00000109789"	0	0	48	0	0	1
"ENSMUSG00000109815"	0	0	37	0	0	0
"ENSMUSG00000039478"	8	17	0	21	8	50
"ENSMUSG00000039470"	0	0	3	31	0	60
"ENSMUSG00000031601"	96	199	592	128	36	224
"ENSMUSG00000031600"	25	694	293	135	978	445
"ENSMUSG00000039431"	0	0	4	0	0	0
"ENSMUSG00000109658"	0	0	3	0	0	0
"ENSMUSG00000046282"	0	0	0	9	0	0
"ENSMUSG00000098050"	6	0	0	0	0	35
"ENSMUSG00000031596"	2	175	0	4	286	155
"ENSMUSG00000031595"	143	208	0	499	776	328
"ENSMUSG00000045636"	60	504	570	912	501	321
"ENSMUSG00000031592"	50	375	679	588	442	600
"ENSMUSG00000031591"	246	1043	654	641	562	994
"ENSMUSG00000031590"	2	427	62	69	172	129
"ENSMUSG00000098149"	0	3	430	0	0	1
"ENSMUSG00000094568"	1	5	61	7	3	5
"ENSMUSG00000053038"	1	6	146	25	11	11
"ENSMUSG00000110224"	0	0	2	0	0	0
"ENSMUSG00000070047"	62	760	0	608	268	1355
"ENSMUSG00000097491"	0	98	0	201	0	107
"ENSMUSG00000066158"	0	6	0	0	0	2
"ENSMUSG00000031645"	0	0	0	8	0	0
"ENSMUSG00000109764"	0	2	0	0	0	0
"ENSMUSG00000079057"	0	712	0	18	0	304
"ENSMUSG00000070044"	1	54	0	156	87	94
"ENSMUSG00000031639"	41	158	0	17	0	114
"ENSMUSG00000031626"	40	229	0	400	104	505
"ENSMUSG00000085440"	0	0	0	0	0	2
"ENSMUSG00000110411"	0	72	0	0	0	0
"ENSMUSG00000031636"	0	0	0	0	0	13
"ENSMUSG00000071103"	11	193	0	35	0	123
"ENSMUSG00000031634"	15	388	4	20	196	208
"ENSMUSG00000050914"	4	42	0	5	0	3
"ENSMUSG00000038291"	17	0	2	36	0	28
"ENSMUSG00000031631"	63	417	40	80	437	183
"ENSMUSG00000086279"	0	0	0	0	0	3
"ENSMUSG00000031633"	268	1240	444	1286	1041	1824
"ENSMUSG00000074978"	0	3	317	0	0	1
"ENSMUSG00000018796"	19	123	8	258	283	196
"ENSMUSG00000031629"	13	0	188	58	224	2
"ENSMUSG00000038225"	2	63	25	73	0	69
"ENSMUSG00000110270"	0	0	30	0	0	0
"ENSMUSG00000031628"	60	456	80	298	339	317
"ENSMUSG00000097534"	0	0	17	0	0	0
"ENSMUSG00000031627"	82	313	60	388	33	129
"ENSMUSG00000109751"	0	0	0	33	0	0
"ENSMUSG00000038173"	71	1009	0	392	1021	433
"ENSMUSG00000038143"	33	88	0	118	166	41
"ENSMUSG00000109606"	0	0	0	0	0	2
"ENSMUSG00000038102"	29	126	2	603	1	597
"ENSMUSG00000031568"	29	25	4	17	632	288
"ENSMUSG00000062458"	1	1	0	0	1	0
"ENSMUSG00000063049"	0	24	1	34	0	0
"ENSMUSG00000074357"	0	0	0	0	0	28
"ENSMUSG00000038069"	29	816	0	157	1175	278
"ENSMUSG00000031563"	18	309	0	191	293	373
"ENSMUSG00000110544"	1	0	1	1	0	0
"ENSMUSG00000031562"	0	15	3	0	0	64
"ENSMUSG00000031561"	9	2	5	45	0	0
"ENSMUSG00000110085"	0	0	2	0	0	0
"ENSMUSG00000052825"	2	2	123	13	74	19
"ENSMUSG00000109919"	0	0	4	0	0	0
"ENSMUSG00000031521"	42	159	13	142	0	293
"ENSMUSG00000039396"	1	0	0	14	0	35
"ENSMUSG00000031520"	13	176	0	102	0	171
"ENSMUSG00000054408"	175	1387	26	997	477	1585
"ENSMUSG00000031519"	0	75	0	7	0	33
"ENSMUSG00000039375"	0	0	33	0	0	0
"ENSMUSG00000031517"	35	0	137	0	0	1
"ENSMUSG00000038257"	0	0	0	1	43	2
"ENSMUSG00000110164"	0	0	6	0	0	0
"ENSMUSG00000031613"	32	871	7	287	203	271
"ENSMUSG00000110397"	0	22	0	52	0	10
"ENSMUSG00000110309"	0	0	2	0	0	0
"ENSMUSG00000038215"	0	133	0	5	1	47
"ENSMUSG00000038206"	26	178	29	56	448	230
"ENSMUSG00000110318"	0	1	2	15	0	0
"ENSMUSG00000031610"	146	627	55	533	464	511
"ENSMUSG00000031609"	38	165	0	99	84	10
"ENSMUSG00000096917"	3	1	80	26	1	0
"ENSMUSG00000054717"	211	389	640	668	1089	307
"ENSMUSG00000109899"	0	2	0	0	0	0
"ENSMUSG00000031608"	24	257	211	122	9	316
"ENSMUSG00000077526"	0	0	0	9	0	2
"ENSMUSG00000070025"	0	1	58	1	0	0
"ENSMUSG00000110289"	0	61	0	0	0	0
