"ensembl_gene_id"	"external_gene_name"	"hgnc_symbol"	"mgi_symbol"
"125"	"ENSMUSG00000016179"	"Camk1g"	""	"Camk1g"
"126"	"ENSMUSG00000016181"	"Utp25"	""	"Utp25"
"127"	"ENSMUSG00000016194"	"Hsd11b1"	""	"Hsd11b1"
"128"	"ENSMUSG00000016200"	"Syt14"	""	"Syt14"
"129"	"ENSMUSG00000016262"	"Sertad4"	""	"Sertad4"
"130"	"ENSMUSG00000016481"	"Cr1l"	""	"Cr1l"
"131"	"ENSMUSG00000016493"	"Cd46"	""	"Cd46"
"132"	"ENSMUSG00000016494"	"Cd34"	""	"Cd34"
"133"	"ENSMUSG00000016524"	"Il19"	""	"Il19"
"134"	"ENSMUSG00000016526"	"Dyrk3"	""	"Dyrk3"
"135"	"ENSMUSG00000016528"	"Mapkapk2"	""	"Mapkapk2"
"136"	"ENSMUSG00000016529"	"Il10"	""	"Il10"
"137"	"ENSMUSG00000016918"	"Sulf1"	""	"Sulf1"
"138"	"ENSMUSG00000017144"	"Rnd3"	""	"Rnd3"
"139"	"ENSMUSG00000017412"	"Cacnb4"	""	"Cacnb4"
"140"	"ENSMUSG00000017418"	"Arl5b"	""	"Arl5b"
"141"	"ENSMUSG00000018189"	"Uchl5"	""	"Uchl5"
"142"	"ENSMUSG00000018196"	"Glrx2"	""	"Glrx2"
"143"	"ENSMUSG00000018199"	"Ro60"	""	"Ro60"
"144"	"ENSMUSG00000018417"	"Myo1b"	""	"Myo1b"
"145"	"ENSMUSG00000019230"	"Lhx9"	""	"Lhx9"
"146"	"ENSMUSG00000019699"	"Akt3"	""	"Akt3"
"147"	"ENSMUSG00000019715"	"Gle1"	""	"Gle1"
"148"	"ENSMUSG00000020423"	"Btg2"	""	"Btg2"
"149"	"ENSMUSG00000022591"	"Gm9747"	""	"Gm9747"
"150"	"ENSMUSG00000022995"	"Enah"	""	"Enah"
"151"	"ENSMUSG00000023094"	"Msrb2"	""	"Msrb2"
"152"	"ENSMUSG00000023150"	"Ivns1abp"	""	"Ivns1abp"
"153"	"ENSMUSG00000023206"	"Il15ra"	""	"Il15ra"
"154"	"ENSMUSG00000023210"	"Lcn9"	""	"Lcn9"
"155"	"ENSMUSG00000025201"	"Bloc1s2-ps"	""	"Bloc1s2-ps"
"156"	"ENSMUSG00000025716"	"Myo3a"	""	"Myo3a"
"157"	"ENSMUSG00000025774"	"Crisp4"	""	"Crisp4"
"158"	"ENSMUSG00000025776"	"Crispld1"	""	"Crispld1"
"159"	"ENSMUSG00000025777"	"Gdap1"	""	"Gdap1"
"160"	"ENSMUSG00000025779"	"Ly96"	""	"Ly96"
"161"	"ENSMUSG00000025780"	"Itih5"	""	"Itih5"
"162"	"ENSMUSG00000025781"	"Atp5c1"	""	"Atp5c1"
"163"	"ENSMUSG00000025782"	"Taf3"	""	"Taf3"
"164"	"ENSMUSG00000025783"	"4930412O13Rik"	""	"4930412O13Rik"
"165"	"ENSMUSG00000025815"	"Dhtkd1"	""	"Dhtkd1"
"166"	"ENSMUSG00000025816"	"Sec61a2"	""	"Sec61a2"
"167"	"ENSMUSG00000025817"	"Nudt5"	""	"Nudt5"
"168"	"ENSMUSG00000025900"	"Rp1"	""	"Rp1"
"169"	"ENSMUSG00000025902"	"Sox17"	""	"Sox17"
"170"	"ENSMUSG00000025903"	"Lypla1"	""	"Lypla1"
"171"	"ENSMUSG00000025905"	"Oprk1"	""	"Oprk1"
"172"	"ENSMUSG00000025907"	"Rb1cc1"	""	"Rb1cc1"
"173"	"ENSMUSG00000025909"	"Sntg1"	""	"Sntg1"
"174"	"ENSMUSG00000025911"	"Adhfe1"	""	"Adhfe1"
"175"	"ENSMUSG00000025912"	"Mybl1"	""	"Mybl1"
"176"	"ENSMUSG00000025915"	"Sgk3"	""	"Sgk3"
"177"	"ENSMUSG00000025916"	"Ppp1r42"	""	"Ppp1r42"
"178"	"ENSMUSG00000025917"	"Cops5"	""	"Cops5"
"179"	"ENSMUSG00000025920"	"Stau2"	""	"Stau2"
"180"	"ENSMUSG00000025921"	"Rdh10"	""	"Rdh10"
"181"	"ENSMUSG00000025925"	"Terf1"	""	"Terf1"
"182"	"ENSMUSG00000025927"	"Tfap2b"	""	"Tfap2b"
"183"	"ENSMUSG00000025929"	"Il17a"	""	"Il17a"
"184"	"ENSMUSG00000025930"	"Msc"	""	"Msc"
"185"	"ENSMUSG00000025931"	"Paqr8"	""	"Paqr8"
"186"	"ENSMUSG00000025932"	"Eya1"	""	"Eya1"
"187"	"ENSMUSG00000025933"	"Tmem14a"	""	"Tmem14a"
"188"	"ENSMUSG00000025934"	"Gsta3"	""	"Gsta3"
"189"	"ENSMUSG00000025935"	"Tram1"	""	"Tram1"
"190"	"ENSMUSG00000025936"	"Gm4956"	""	"Gm4956"
"191"	"ENSMUSG00000025937"	"Lactb2"	""	"Lactb2"
"192"	"ENSMUSG00000025938"	"Slco5a1"	""	"Slco5a1"
"193"	"ENSMUSG00000025939"	"Ube2w"	""	"Ube2w"
"194"	"ENSMUSG00000025940"	"Tmem70"	""	"Tmem70"
"195"	"ENSMUSG00000025945"	"Crygf"	""	"Crygf"
"196"	"ENSMUSG00000025946"	"Pth2r"	""	"Pth2r"
"197"	"ENSMUSG00000025949"	"Pikfyve"	""	"Pikfyve"
"198"	"ENSMUSG00000025950"	"Idh1"	""	"Idh1"
"199"	"ENSMUSG00000025952"	"Crygc"	""	"Crygc"
"200"	"ENSMUSG00000025955"	"Akr1cl"	""	"Akr1cl"
"201"	"ENSMUSG00000025956"	"Mettl21a"	""	"Mettl21a"
"202"	"ENSMUSG00000025958"	"Creb1"	""	"Creb1"
"203"	"ENSMUSG00000025959"	"Klf7"	""	"Klf7"
"204"	"ENSMUSG00000025961"	"4933402D24Rik"	""	"4933402D24Rik"
"205"	"ENSMUSG00000025962"	"Fastkd2"	""	"Fastkd2"
"206"	"ENSMUSG00000025963"	"Mdh1b"	""	"Mdh1b"
"207"	"ENSMUSG00000025964"	"Adam23"	""	"Adam23"
