TF	Target
NFKB	Plxnb1
NFKB	Pmf1
NFKB2	Pmf1
RELA	Pmf1
RELA	Pno1
NFKB1	Pno1
NFKB	Pno1
REL	Pno1
NFKB2	Podnl1
NFKB1	Podnl1
NFKB	Podnl1
NFKB	Pofut2
NFKB1	Pofut2
REL	Pofut2
RELA	Pofut2
NFKB	Poldip2
RELA	Poldip2
NFKB1	Poldip3
RELA	Poldip3
NFKB	Poldip3
NFKB2	Polh
NFKB	Polh
NFKB1	Polh
NFKB1	Polr1e
REL	Polr1e
NFKB	Polr1e
RELA	Polr1e
NFKB2	Polr1e
REL	Polr2a
NFKB2	Polr2a
NFKB	Polr2a
NFKB1	Polr2a
RELA	Polr2e
NFKB	Polr2e
NFKB	Polr2g
NFKB2	Polr2g
NFKB1	Polr2g
RELA	Polr2g
NFKB	Polr2l
NFKB1	Polr2l
NFKB2	Polr3e
NFKB	Polr3e
RELA	Polrmt
NFKB1	Polrmt
NFKB	Polrmt
REL	Pomt2
NFKB1	Pomt2
NFKB	Pomt2
RELA	Pomt2
NFKB	Ppcdc
RELA	Ppif
REL	Ppif
NFKB2	Ppif
NFKB	Ppif
NFKB1	Ppif
RELA	Ppil1
NFKB	Ppil1
REL	Ppil1
RELA	Ppm1b
NFKB	Ppm1b
RELA	Ppp1cb
NFKB1	Ppp1cb
NFKB2	Ppp1cb
REL	Ppp1cb
NFKB	Ppp1cb
NFKB	Ppp1r10
RELA	Ppp1r16b
NFKB	Ppp1r16b
NFKB	Ppp1r18
NFKB	Ppp2r1a
NFKB1	Ppp2r2a
NFKB2	Ppp2r2a
NFKB	Ppp2r2a
RELA	Ppp3r1
REL	Ppp3r1
NFKB1	Ppp3r1
NFKB	Ppp3r1
REL	Ppp4r1
NFKB2	Ppp4r1
NFKB	Ppp4r1
RELA	Ppp4r1
NFKB	Ppp5c
RELA	Ppp5c
REL	Ppp5c
NFKB2	Ppp6r2
NFKB1	Ppp6r2
NFKB	Ppp6r2
NFKB	Prcc
NFKB	Prdx2
RELA	Prdx2
REL	Prdx2
NFKB	Prex2
NFKB	Prg2
NFKB	Prim2
NFKB	Prkaa1
REL	Prkaa1
NFKB	Prkab2
NFKB1	Prkab2
NFKB2	Prkaca
NFKB1	Prkaca
NFKB	Prkaca
NFKB1	Prkcd
NFKB	Prkcd
NFKB2	Prkcd
RELA	Prkcq
NFKB	Prkcq
NFKB1	Prkcq
NFKB1	Prkra
NFKB	Prkra
REL	Prpf18
RELA	Prpf18
NFKB	Prpf18
NFKB	Prpf31
NFKB	Prpsap1
NFKB1	Prr14
NFKB	Prr14
NFKB	Prr3
RELA	Prss57
NFKB	Prss57
RELA	Prtn3
NFKB	Prtn3
NFKB1	Psma4
NFKB	Psma4
REL	Psmc3
NFKB	Psmc3
RELA	Psmc3
NFKB	Psmd13
RELA	Psmd3
NFKB	Psmd3
NFKB2	Psmd3
NFKB1	Psmd3
REL	Psmd3
NFKB	Pstk
RELA	Pstk
RELA	Ptbp1
NFKB	Ptbp1
NFKB	Ptbp3
REL	Ptbp3
NFKB1	Ptbp3
NFKB	Ptger3
NFKB1	Ptger3
NFKB	Ptger4
NFKB1	Ptger4
REL	Ptger4
NFKB	Ptges2
REL	Ptgir
NFKB	Ptgir
NFKB1	Ptma
NFKB	Ptma
RELA	Ptma
NFKB	Ptpn21
NFKB2	Ptpn21
NFKB1	Ptpn21
REL	Ptpn21
RELA	Ptpn21
RELA	Ptpn6
NFKB	Ptpn6
REL	Ptpn6
NFKB	Ptpn9
NFKB	Ptrh1
NFKB	Ptrhd1
RELA	Pura
NFKB2	Pura
REL	Pura
NFKB	Pura
NFKB1	Pura
NFKB2	Pus10
NFKB1	Pus10
NFKB	Pus10
NFKB	Qpct
NFKB2	R3hdm2
NFKB	R3hdm2
NFKB1	R3hdm2
RELA	R3hdm4
NFKB	R3hdm4
NFKB1	Rab11fip1
NFKB	Rab11fip1
RELA	Rab14
NFKB	Rab14
NFKB	Rab23
NFKB	Rab27a
NFKB	Rab28
NFKB	Rab2b
NFKB	Rab31
RELA	Rab31
NFKB2	Rab31
REL	Rab31
NFKB1	Rab34
RELA	Rab34
NFKB2	Rab34
NFKB	Rab34
NFKB	Rab40b
RELA	Rab40b
NFKB1	Rab40b
REL	Rab40b
RELA	Rab5a
NFKB	Rab5a
NFKB	Rab8a
NFKB	Rabif
NFKB1	Rabif
NFKB2	Rabif
RELA	Rabif
REL	Rabif
RELA	Rac2
NFKB	Rac2
REL	Rac2
RELA	Rad23a
NFKB	Rad23a
REL	Rad23a
NFKB1	Rad50
NFKB	Rad50
NFKB	Rad9b
REL	Rad9b
RELA	Rad9b
NFKB1	Ralbp1
NFKB	Ralbp1
REL	Ralbp1
NFKB2	Ralbp1
RELA	Ralbp1
NFKB	Ralgapb
RELA	Ralgapb
NFKB	Ralgds
NFKB	Ramp1
NFKB	Ranbp3
NFKB1	Ranbp3
REL	Rangrf
NFKB2	Rangrf
NFKB	Rangrf
NFKB1	Rangrf
NFKB	Rap1b
RELA	Rap1gap2
NFKB	Rap1gap2
REL	Rap1gap2
NFKB1	Rap1gap2
NFKB2	Rap1gap2
RELA	Rap2c
NFKB	Rap2c
REL	Rap2c
NFKB1	Rapgef3
NFKB	Rapgef3
NFKB	Rapgef6
NFKB1	Rapgef6
REL	Rapgef6
REL	Rara
NFKB1	Rara
NFKB	Rara
NFKB2	Rara
RELA	Rara
REL	Rars2
NFKB1	Rars2
NFKB	Rars2
NFKB2	Rars2
RELA	Rars2
NFKB2	Rasa2
RELA	Rasa2
NFKB1	Rasa2
NFKB	Rasa2
NFKB	Rasgrp3
NFKB1	Rassf1
NFKB	Rassf1
NFKB	Rassf4
NFKB1	Rassf4
NFKB2	Rassf4
NFKB	Rbbp4
NFKB	Rbfox2
RELA	Rbfox2
NFKB2	Rbm17
NFKB	Rbm17
RELA	Rbm17
NFKB1	Rbm17
NFKB1	Rbm22
NFKB	Rbm22
NFKB	Rbm34
NFKB	Rbms1
RELA	Rbpj
NFKB	Rbpj
NFKB1	Rbpms2
NFKB	Rbpms2
RELA	Rbpms2
NFKB	Rbx1
NFKB1	Rbx1
NFKB	Rc3h1
NFKB2	Rc3h2
NFKB	Rc3h2
REL	Rc3h2
RELA	Rc3h2
NFKB1	Rc3h2
NFKB	Rcan1
NFKB1	Rcan1
NFKB	Rcbtb1
NFKB	Rcc2
NFKB1	Rcc2
NFKB1	Rcor3
REL	Rcor3
NFKB	Rcor3
NFKB2	Rcor3
NFKB	Rdm1
NFKB	Recql5
NFKB1	Reep2
NFKB	Reep2
NFKB	Rel
RELA	Rel
NFKB2	Rel
NFKB1	Rel
REL	Rel
NFKB2	Relb
RELA	Relb
REL	Relb
NFKB	Relb
NFKB	Rell1
RELA	Relt
NFKB	Relt
NFKB1	Rexo1
NFKB	Rexo1
NFKB	Rexo4
NFKB	Rfx1
NFKB1	Rfx1
NFKB2	Rfx1
NFKB	Rfx2
NFKB	Rfx5
NFKB	Rgs1
NFKB	Rhbdf2
REL	Rhd
NFKB	Rhd
RELA	Rhd
REL	Rhobtb2
NFKB	Rhobtb2
RELA	Rhobtb2
NFKB2	Rhobtb2
NFKB1	Rhobtb2
REL	Rictor
RELA	Rictor
NFKB	Rictor
NFKB	Rilpl1
NFKB1	Rilpl1
NFKB	Rilpl2
RELA	Rilpl2
NFKB2	Riok1
NFKB1	Riok1
NFKB	Riok1
NFKB	Rit1
NFKB1	Rit1
NFKB2	Rit1
RELA	Rit1
NFKB	Rmdn1
RELA	Rnaseh2a
NFKB	Rnaseh2a
REL	Rnaseh2a
NFKB	Rnaseh2b
NFKB1	Rnd1
RELA	Rnd1
NFKB	Rnd1
NFKB	Rnf126
RELA	Rnf126
NFKB	Rnf139
NFKB	Rnf145
NFKB2	Rnf166
REL	Rnf166
NFKB	Rnf166
RELA	Rnf166
NFKB1	Rnf166
NFKB	Rnf19b
NFKB	Rnf213
NFKB1	Rnf213
REL	Rnf213
NFKB	Rnf214
RELA	Rnf215
REL	Rnf215
NFKB	Rnf215
NFKB	Rnf220
REL	Rnf25
NFKB	Rnf25
RELA	Rnf25
NFKB	Rnf26
NFKB	Rnf40
NFKB1	Rnf40
NFKB	Rnf6
REL	Rnf8
NFKB	Rnf8
RELA	Rnf8
NFKB	Rnps1
NFKB	Rpl12
REL	Rpl18a
RELA	Rpl18a
NFKB	Rpl18a
REL	Rpl32
NFKB	Rpl32
RELA	Rpl32
NFKB	Rpl37
REL	Rpl37
NFKB	Rpp21
NFKB1	Rprd1b
RELA	Rprd1b
REL	Rprd1b
NFKB	Rprd1b
NFKB	Rps14
NFKB1	Rps14
NFKB1	Rps16
NFKB	Rps16
NFKB	Rps3
REL	Rps6ka1
RELA	Rps6ka1
NFKB	Rps6ka1
REL	Rps6ka5
RELA	Rps6ka5
NFKB	Rps6ka5
NFKB	Rps9
REL	Rras
NFKB	Rras
NFKB2	Rreb1
REL	Rreb1
NFKB	Rreb1
NFKB1	Rreb1
RELA	Rreb1
NFKB	Rrnad1
NFKB1	Rrp1
NFKB	Rrp1
NFKB1	Rrp1b
REL	Rrp1b
NFKB	Rrp1b
NFKB1	Rrp7a
NFKB	Rrp7a
RELA	Rrp7a
NFKB	Rrp8
NFKB2	Rrp8
NFKB1	Rrp8
NFKB	Rufy1
NFKB	Runx1
NFKB1	Runx1
NFKB	Runx2
NFKB	Ruvbl2
NFKB1	Ruvbl2
REL	Ruvbl2
RELA	Ruvbl2
NFKB2	Ruvbl2
NFKB	Rwdd2b
RELA	Rwdd2b
NFKB	Rybp
NFKB	S100pbp
NFKB	Saal1
NFKB1	Saal1
NFKB	Samd10
NFKB1	Samd14
NFKB	Samd14
RELA	Samd14
RELA	Samd15
REL	Samd15
NFKB	Samd15
NFKB1	Samd15
NFKB	Samd4b
NFKB1	Samd4b
NFKB	Sap30bp
NFKB	Sars2
NFKB1	Sars2
NFKB	Sat2
REL	Sat2
NFKB2	Sat2
NFKB1	Sat2
NFKB	Satb1
NFKB1	Satb1
NFKB	Sav1
RELA	Sav1
REL	Sav1
NFKB1	Sbf1
NFKB	Sbf1
NFKB	Sbno1
RELA	Sbno2
NFKB	Sbno2
NFKB	Scamp4
NFKB1	Scamp4
NFKB	Scamp5
NFKB	Scarb2
NFKB1	Sclt1
NFKB	Sclt1
NFKB	Scly
NFKB1	Scly
RELA	Scmh1
REL	Scmh1
NFKB1	Scmh1
NFKB	Scmh1
NFKB	Scrn3
NFKB	Sdc4
REL	Sdc4
RELA	Sdf2
NFKB	Sdf2
NFKB	Sec14l1
RELA	Sec14l2
NFKB	Sec14l2
REL	Sec14l2
NFKB	Sec23b
NFKB	Sec24a
REL	Sec24a
RELA	Sec24a
RELA	Sec24b
NFKB	Sec24b
REL	Sec24b
NFKB	Sema4a
NFKB2	Sema4a
RELA	Sema4a
RELA	Sema4c
REL	Sema4c
NFKB	Sema4c
NFKB1	Senp3
NFKB	Senp3
NFKB2	Senp3
REL	Senp3
NFKB1	Senp5
NFKB	Senp5
REL	Sephs1
NFKB1	Sephs1
NFKB	Sephs1
RELA	Sephs1
NFKB	Sephs2
NFKB1	Sephs2
NFKB1	Serf2
NFKB	Serf2
NFKB	Serpinh1
RELA	Sesn2
NFKB	Sesn2
NFKB	Set
RELA	Setd5
NFKB1	Setd5
NFKB	Setd5
NFKB	Setd6
NFKB	Sf3a1
RELA	Sf3a1
NFKB1	Sf3a1
REL	Sf3a1
NFKB	Sf3a2
NFKB1	Sf3a2
REL	Sf3b1
NFKB1	Sf3b1
NFKB	Sf3b1
RELA	Sf3b1
NFKB	Sfxn2
RELA	Sfxn2
NFKB1	Sgsh
NFKB	Sgsh
NFKB	Sh2b1
NFKB	Sh2d2a
NFKB	Sh2d3c
RELA	Sh3bgrl3
REL	Sh3bgrl3
NFKB	Sh3bgrl3
NFKB	Sh3bp2
NFKB1	Sh3bp2
RELA	Sh3bp2
NFKB1	Sh3pxd2a
NFKB2	Sh3pxd2a
NFKB	Sh3pxd2a
RELA	Sh3pxd2a
REL	Sh3pxd2a
NFKB	Sh3tc1
RELA	Shf
REL	Shf
NFKB	Shf
REL	Sik1
NFKB	Sik1
NFKB1	Sik1
RELA	Sil1
REL	Sil1
NFKB1	Sil1
NFKB	Sil1
NFKB2	Sil1
REL	Sin3a
RELA	Sin3a
NFKB	Sin3a
REL	Sirt1
RELA	Sirt1
NFKB	Sirt1
NFKB1	Sirt2
RELA	Sirt2
NFKB2	Sirt2
NFKB	Sirt2
REL	Sirt2
NFKB	Sirt3
NFKB	Ska3
NFKB	Slamf8
RELA	Slamf8
REL	Slamf8
RELA	Slc16a9
NFKB2	Slc16a9
REL	Slc16a9
NFKB	Slc16a9
NFKB2	Slc17a9
RELA	Slc17a9
NFKB1	Slc17a9
NFKB	Slc17a9
RELA	Slc19a1
REL	Slc19a1
NFKB1	Slc19a1
NFKB	Slc19a1
REL	Slc1a3
NFKB1	Slc1a3
NFKB2	Slc1a3
NFKB	Slc1a3
NFKB	Slc22a4
NFKB1	Slc22a4
NFKB	Slc22a5
NFKB1	Slc22a5
NFKB	Slc25a12
RELA	Slc25a12
REL	Slc25a12
NFKB	Slc25a19
RELA	Slc25a24
NFKB1	Slc25a24
NFKB	Slc25a24
REL	Slc25a24
NFKB	Slc25a25
RELA	Slc25a29
NFKB	Slc25a29
REL	Slc25a29
NFKB	Slc25a35
NFKB1	Slc25a35
NFKB2	Slc25a35
REL	Slc25a35
NFKB	Slc25a43
NFKB1	Slc25a43
NFKB	Slc25a44
NFKB2	Slc25a44
RELA	Slc25a44
NFKB	Slc27a4
NFKB2	Slc29a1
RELA	Slc29a1
NFKB1	Slc29a1
REL	Slc29a1
NFKB	Slc29a1
NFKB	Slc2a6
RELA	Slc2a8
NFKB	Slc2a8
RELA	Slc35a1
NFKB	Slc35a1
NFKB1	Slc35a1
NFKB2	Slc35a1
NFKB	Slc35b1
NFKB	Slc35b2
NFKB2	Slc35b2
REL	Slc35b2
NFKB1	Slc35b2
RELA	Slc35b2
NFKB	Slc35e1
NFKB	Slc35e3
NFKB	Slc35f2
NFKB1	Slc37a4
NFKB	Slc37a4
NFKB	Slc38a9
NFKB1	Slc38a9
REL	Slc39a1
RELA	Slc39a1
NFKB1	Slc39a1
NFKB	Slc39a1
NFKB	Slc39a13
REL	Slc39a13
RELA	Slc39a13
NFKB	Slc39a8
NFKB2	Slc3a2
NFKB	Slc3a2
NFKB1	Slc3a2
RELA	Slc3a2
NFKB	Slc41a1
NFKB1	Slc41a1
NFKB2	Slc41a1
NFKB1	Slc43a2
RELA	Slc43a2
NFKB	Slc43a2
RELA	Slc44a1
REL	Slc44a1
NFKB	Slc44a1
NFKB2	Slc45a3
NFKB1	Slc45a3
NFKB	Slc45a3
RELA	Slc46a1
NFKB	Slc46a1
NFKB	Slc50a1
NFKB1	Slc50a1
NFKB2	Slc52a2
NFKB1	Slc52a2
NFKB	Slc52a2
NFKB	Slc5a3
NFKB1	Slc5a3
NFKB	Slc6a9
RELA	Slc8b1
NFKB	Slc8b1
REL	Slc9a5
RELA	Slc9a5
NFKB	Slc9a5
NFKB	Slc9a8
NFKB	Slco2b1
NFKB1	Smad3
REL	Smad3
RELA	Smad3
NFKB	Smad3
NFKB2	Smarce1
NFKB	Smarce1
NFKB1	Smarce1
RELA	Smarce1
REL	Smarce1
NFKB1	Smc2
NFKB	Smc2
NFKB	Smchd1
NFKB1	Smchd1
NFKB1	Smdt1
NFKB	Smdt1
RELA	Smdt1
NFKB2	Smg5
NFKB	Smg5
RELA	Smg5
NFKB1	Smim13
NFKB2	Smim13
REL	Smim13
NFKB	Smim13
RELA	Smim13
NFKB	Smim20
RELA	Smim20
NFKB	Smim3
NFKB1	Smim3
NFKB1	Smim7
NFKB	Smim7
NFKB	Smoc1
RELA	Smoc1
REL	Smoc1
NFKB1	Smoc1
NFKB	Smpd1
NFKB	Smpdl3a
NFKB1	Snap47
NFKB	Snap47
REL	Snrnp200
RELA	Snrnp200
NFKB	Snrnp200
NFKB	Snrnp35
NFKB	Snrpe
RELA	Snrpe
REL	Snrpe
NFKB	Snupn
NFKB	Snx33
NFKB	Snx8
REL	Snx8
NFKB1	Snx8
RELA	Snx8
NFKB1	Snx9
NFKB2	Snx9
REL	Snx9
NFKB	Snx9
RELA	Snx9
NFKB	Socs2
NFKB1	Socs4
NFKB2	Socs4
NFKB	Socs4
NFKB1	Sord
NFKB	Sord
NFKB	Spag5
RELA	Spag5
NFKB2	Spata24
REL	Spata24
NFKB	Spata24
RELA	Spata24
NFKB1	Spata24
RELA	Spcs2
NFKB	Spcs2
NFKB	Spdl1
REL	Spdl1
REL	Spdya
NFKB2	Spdya
RELA	Spdya
NFKB	Spdya
NFKB1	Spdya
NFKB	Spen
NFKB	Spg21
NFKB1	Spg21
RELA	Spg21
NFKB	Sphk1
NFKB	Spi1
RELA	Spi1
REL	Spi1
RELA	Spic
NFKB	Spic
REL	Spic
NFKB1	Spint2
NFKB	Spint2
NFKB	Spire1
NFKB	Spns1
NFKB	Sppl2a
REL	Sppl2a
RELA	Sppl2a
RELA	Spryd7
NFKB	Spryd7
REL	Spryd7
NFKB	Sptb
NFKB	Sqle
NFKB	Srcap
NFKB1	Srcap
NFKB2	Srf
NFKB1	Srf
NFKB	Srf
NFKB	Sri
RELA	Sri
REL	Sri
NFKB	Srp68
REL	Srrm1
NFKB	Srrm1
RELA	Srrm1
NFKB	Srsf2
REL	Srsf2
RELA	Ssbp4
REL	Ssbp4
NFKB	Ssbp4
NFKB	Ssr1
NFKB1	Ssr1
NFKB2	Ssr1
NFKB2	Ssr2
NFKB	Ssr2
RELA	Ssr2
NFKB	Mthfs
NFKB1	Mthfs
NFKB2	Mthfs
NFKB	St3gal3
NFKB	St6galnac2
NFKB	St6galnac4
NFKB	St6galnac6
NFKB1	Stab1
NFKB	Stab1
NFKB	Stap2
RELA	Stap2
REL	Stap2
NFKB2	Stap2
NFKB1	Stap2
NFKB	Star
NFKB1	Star
NFKB	Stard10
RELA	Stard10
REL	Stard3
NFKB	Stard3
RELA	Stard3
NFKB2	Stard3
NFKB1	Stard3
NFKB1	Stard3nl
NFKB	Stard3nl
RELA	Stard3nl
REL	Stard3nl
NFKB2	Stard3nl
NFKB	Stard7
REL	Stard7
RELA	Stard7
REL	Stat5a
RELA	Stat5a
NFKB	Stat5a
RELA	Stk11
NFKB	Stk11
REL	Stk16
NFKB	Stk16
RELA	Stk16
REL	Stk36
NFKB	Stk36
RELA	Stk36
NFKB	Stk38
NFKB	Stk39
NFKB	Stom
RELA	Stom
RELA	Stox2
NFKB	Stox2
NFKB1	Strada
REL	Strada
NFKB2	Strada
NFKB	Strada
NFKB	Strip1
NFKB	Stx11
NFKB1	Stx11
RELA	Stx11
RELA	Stx3
REL	Stx3
NFKB	Stx3
NFKB	Stx8
NFKB1	Stx8
NFKB2	Stx8
NFKB	Stxbp1
NFKB1	Stxbp3
NFKB	Stxbp3
NFKB2	Stxbp3
REL	Stxbp3
RELA	Stxbp3
NFKB	Stxbp4
NFKB1	Stxbp6
NFKB	Stxbp6
RELA	Stxbp6
REL	Suclg1
RELA	Suclg1
NFKB	Suclg1
NFKB2	Suclg1
NFKB	Sufu
RELA	Sufu
RELA	Sumf1
NFKB	Sumf1
NFKB	Sumo2
NFKB	Sun2
NFKB1	Sun2
NFKB	Surf1
NFKB	Surf2
NFKB	Surf4
NFKB	Surf6
NFKB	Svip
NFKB	Swap70
REL	Swap70
NFKB	Swi5
NFKB	Syce2
REL	Syce2
RELA	Syce2
RELA	Syf2
NFKB	Syf2
REL	Syf2
REL	Syngap1
NFKB	Syngap1
RELA	Syngap1
NFKB	Synpo
NFKB1	Synpo
NFKB2	Syt11
NFKB	Syt11
RELA	Syt11
RELA	Taf10
NFKB	Taf10
REL	Taf10
NFKB1	Taf5l
REL	Taf5l
NFKB	Taf5l
RELA	Taf5l
NFKB1	Taf6l
NFKB	Taf6l
NFKB2	Taf6l
RELA	Taf6l
NFKB	Tagap
NFKB	Tagln2
NFKB	Tank
NFKB	Taok1
NFKB	Taok3
NFKB1	Tapbpl
NFKB	Tapbpl
RELA	Tapbpl
REL	Tapbpl
NFKB	Tatdn1
NFKB	Tbc1d1
RELA	Tbc1d10a
NFKB	Tbc1d10a
REL	Tbc1d10a
NFKB	Tbc1d10b
NFKB1	Tbc1d10b
NFKB	Tbc1d12
NFKB1	Tbc1d12
NFKB1	Tbc1d16
NFKB	Tbc1d16
NFKB	Tbc1d19
RELA	Tbc1d19
NFKB	Tbc1d22a
NFKB	Tbc1d22b
REL	Tbc1d22b
RELA	Tbc1d22b
NFKB	Tbc1d31
NFKB	Tbc1d5
NFKB	Tbc1d9
NFKB	Tbcd
NFKB1	Tbcd
REL	Tbcd
RELA	Tbcd
REL	Tbl1xr1
RELA	Tbl1xr1
NFKB	Tbl1xr1
NFKB	Tcea1
NFKB1	Tcf3
NFKB	Tcf3
RELA	Tcf4
NFKB	Tcf4
NFKB	Tcn2
REL	Tcn2
RELA	Tcn2
NFKB	Tcof1
NFKB1	Tcof1
NFKB	Tcp11l1
RELA	Tcp11l1
NFKB1	Tcp11l1
NFKB	Tctn2
NFKB	Tdp2
RELA	Tdrd7
NFKB2	Tdrd7
NFKB	Tdrd7
NFKB1	Tdrd7
REL	Tdrd7
NFKB	Ten1
RELA	Tfb1m
REL	Tfb1m
NFKB	Tfb1m
RELA	Tfe3
NFKB2	Tfe3
NFKB	Tfe3
NFKB	Tfeb
NFKB	Tfpt
NFKB	Tgif1
NFKB	Tgs1
REL	Tgs1
NFKB1	Tgs1
RELA	Tgs1
NFKB1	Thada
NFKB2	Thada
RELA	Thada
NFKB	Thada
NFKB	Thap2
NFKB1	Thoc1
RELA	Thoc1
NFKB	Thoc1
NFKB2	Thra
RELA	Thra
REL	Thra
NFKB	Thra
NFKB1	Thra
NFKB	Thy1
RELA	Ticam1
REL	Ticam1
NFKB	Ticam1
NFKB	Tifa
NFKB	Tifab
NFKB	Timm10
RELA	Timm10
REL	Timm10
NFKB1	Timm13
NFKB	Timm13
NFKB2	Timm21
REL	Timm21
NFKB1	Timm21
RELA	Timm21
NFKB	Timm21
NFKB	Timm22
NFKB1	Timm50
NFKB	Timm50
RELA	Timp2
REL	Timp2
NFKB1	Timp2
NFKB	Timp2
RELA	Tjap1
NFKB	Tjap1
NFKB1	Tjap1
NFKB	Tlcd1
RELA	Tlcd1
NFKB	Tln1
NFKB	Tlr1
NFKB	Tlr6
NFKB	Tm4sf1
NFKB	Tmbim4
NFKB1	Tmcc2
NFKB	Tmcc2
NFKB2	Tmcc2
NFKB	Tmed2
NFKB	Tmed8
NFKB1	Tmed8
REL	Tmed8
RELA	Tmed8
NFKB	Tmem106a
NFKB1	Tmem107
REL	Tmem107
NFKB	Tmem107
NFKB2	Tmem107
NFKB	Tmem11
RELA	Tmem127
NFKB	Tmem127
REL	Tmem127
NFKB2	Tmem14c
RELA	Tmem14c
REL	Tmem14c
NFKB	Tmem14c
NFKB1	Tmem14c
NFKB	Tmem156
RELA	Tmem179b
NFKB	Tmem179b
NFKB1	Tmem179b
NFKB2	Tmem179b
NFKB2	Tmem183a
NFKB1	Tmem183a
RELA	Tmem183a
NFKB	Tmem183a
REL	Tmem183a
NFKB	Tmem199
RELA	Tmem199
RELA	Tmem201
NFKB	Tmem201
REL	Tmem201
NFKB	Tmem204
REL	Tmem214
NFKB	Tmem214
REL	Tmem219
RELA	Tmem219
NFKB	Tmem219
NFKB1	Tmem223
NFKB	Tmem223
RELA	Tmem223
NFKB2	Tmem223
NFKB2	Tmem238
NFKB1	Tmem238
NFKB	Tmem238
NFKB1	Tmem242
NFKB	Tmem242
NFKB2	Tmem242
RELA	Tmem242
REL	Tmem242
NFKB	Tmem245
NFKB	Tmem25
REL	Tmem256
NFKB	Tmem256
NFKB2	Tmem256
NFKB1	Tmem256
REL	Tmem256
NFKB	Tmem256
NFKB1	Tmem256
NFKB2	Tmem256
NFKB	Tmem259
RELA	Tmem259
NFKB	Tmem38a
REL	Tmem41b
NFKB	Tmem41b
REL	Tmem50a
RELA	Tmem50a
NFKB	Tmem50a
RELA	Tmem63b
NFKB2	Tmem63b
REL	Tmem63b
NFKB1	Tmem63b
NFKB	Tmem63b
NFKB	Tmem65
REL	Tmem68
NFKB1	Tmem68
RELA	Tmem68
NFKB	Tmem68
NFKB	Tmem79
RELA	Tmem79
NFKB2	Tmem79
NFKB1	Tmem88
NFKB2	Tmem88
REL	Tmem88
NFKB	Tmem88
REL	Tmem91
NFKB	Tmem91
RELA	Tmem91
NFKB	Tmem97
RELA	Tmem97
NFKB1	Tmem9b
NFKB	Tmem9b
NFKB2	Tmod1
REL	Tmod1
NFKB1	Tmod1
NFKB	Tmod1
RELA	Tmod1
NFKB1	Tnfaip1
NFKB	Tnfaip1
RELA	Tnfaip1
REL	Tnfaip3
RELA	Tnfaip3
NFKB1	Tnfaip3
NFKB	Tnfaip3
NFKB	Tnfsf10
RELA	Tnfsf10
REL	Tnfsf10
NFKB2	Tnfsf12
NFKB1	Tnfsf12
REL	Tnfsf12
NFKB	Tnfsf12
NFKB	Tnfsf13
REL	Tnfsf13
NFKB2	Tnfsf13
NFKB1	Tnfsf13
NFKB2	Tnip1
RELA	Tnip1
NFKB	Tnip1
NFKB1	Tnip1
REL	Tnip1
NFKB	Tnni2
NFKB1	Tnni2
REL	Tnni2
RELA	Tnpo2
NFKB	Tnpo2
REL	Tnpo2
NFKB1	Tnrc6a
NFKB	Tnrc6a
NFKB	Tnrc6c
NFKB	Tom1l1
NFKB	Tomm20
REL	Top2a
NFKB	Top2a
NFKB1	Top2a
NFKB2	Top2a
RELA	Top2a
NFKB	Top2b
NFKB	Tor2a
NFKB	Tox4
NFKB	Tpbg
NFKB	Tpgs1
RELA	Tpgs1
NFKB	Tpst1
NFKB1	Tpst1
NFKB	Trabd
NFKB2	Trabd
NFKB1	Trabd
REL	Traf3
NFKB	Traf3
RELA	Traf3
NFKB	Traf4
RELA	Traf4
NFKB1	Trappc1
REL	Trappc1
NFKB2	Trappc1
NFKB	Trappc1
NFKB	Trappc11
RELA	Trappc11
RELA	Trappc2l
NFKB1	Trappc2l
REL	Trappc2l
NFKB	Trappc2l
NFKB2	Trappc2l
REL	Trappc3
RELA	Trappc3
NFKB	Trappc3
NFKB	Trappc4
NFKB	Trim39
RELA	Trim44
NFKB	Trim44
REL	Trim44
NFKB	Trim65
RELA	Trim8
NFKB	Trim8
NFKB	Trip11
NFKB	Trip4
RELA	Trip4
NFKB1	Trip4
RELA	Trmt1
REL	Trmt1
NFKB	Trmt1
NFKB	Trmt12
NFKB	Trmu
NFKB	Trps1
NFKB	Trpv2
REL	Trpv2
RELA	Trpv2
NFKB	Trub2
NFKB	Tsacc
NFKB2	Tsacc
RELA	Tsacc
NFKB	Tsc1
NFKB	Tsc22d1
REL	Tsc22d1
NFKB1	Tsc22d4
NFKB	Tsc22d4
NFKB	Tsen34
NFKB	Tsen54
RELA	Tsg101
NFKB1	Tsg101
NFKB	Tsg101
NFKB	Tspan4
NFKB1	Tspan4
NFKB	Tspo
NFKB1	Tspo
NFKB1	Tsr3
NFKB	Tsr3
NFKB	Tst
RELA	Tst
REL	Tst
REL	Tstd2
RELA	Tstd2
NFKB2	Tstd2
NFKB1	Tstd2
NFKB	Tstd2
REL	Ttc33
NFKB	Ttc33
NFKB	Ttc38
NFKB	Ttc8
RELA	Ttc9c
NFKB2	Ttc9c
NFKB	Ttc9c
NFKB1	Ttc9c
NFKB	Ttll4
REL	Ttll4
RELA	Ttll4
RELA	Ttyh3
NFKB	Ttyh3
REL	Ttyh3
NFKB1	Ttyh3
NFKB	Tuba4a
REL	Tuba4a
RELA	Tuba4a
NFKB1	Tubgcp4
NFKB	Tubgcp4
