TF	Target
NFKB2	Cxcr4
RELA	Cxcr4
NFKB	Cxcr4
RELA	Cxxc5
NFKB1	Cxxc5
NFKB2	Cxxc5
NFKB	Cxxc5
REL	Cxxc5
NFKB	Cyb561a3
RELA	Cyb5a
NFKB	Cyb5a
NFKB	Cyb5d1
NFKB2	Cyb5d1
NFKB1	Cyb5d1
REL	Cyb5d1
NFKB1	Cyb5r1
RELA	Cyb5r1
NFKB	Cyb5r1
NFKB2	Cyb5r1
REL	Cyb5r1
NFKB2	Cyb5r3
NFKB1	Cyb5r3
NFKB	Cyb5r3
RELA	Cyb5r3
NFKB	Cyba
NFKB1	Cyba
NFKB2	Cyba
REL	Cyba
RELA	Cyba
NFKB	Cyfip1
NFKB1	Cyfip1
NFKB2	Cyfip1
RELA	Cyfip1
REL	Cyld
RELA	Cyld
NFKB2	Cyld
NFKB	Cyld
NFKB1	Cyld
NFKB1	Cyp1b1
RELA	Cyp1b1
NFKB	Cyp1b1
NFKB	Cyth4
RELA	Cyth4
REL	Cyth4
NFKB	Daam1
NFKB2	Dap3
NFKB	Dap3
RELA	Dap3
NFKB	Dazap1
RELA	Dazap1
NFKB2	Dcaf15
NFKB	Dcaf15
NFKB1	Dcaf15
NFKB	Dcbld2
NFKB1	Dctn4
NFKB	Dctn4
NFKB	Dctpp1
NFKB1	Dctpp1
NFKB	Dcun1d1
REL	Ddb2
RELA	Ddb2
NFKB	Ddb2
NFKB	Ddhd2
NFKB1	Ddhd2
NFKB	Ddx18
NFKB1	Ddx18
NFKB2	Ddx18
NFKB	Ddx20
REL	Ddx20
RELA	Ddx20
NFKB	Ddx31
NFKB1	Ddx49
NFKB	Ddx49
NFKB	Ddx50
NFKB1	Ddx50
NFKB	Ddx55
RELA	Ddx58
NFKB	Ddx58
NFKB	Ddx6
RELA	Degs2
NFKB1	Degs2
NFKB	Degs2
REL	Degs2
NFKB	Dek
NFKB	Dennd4a
NFKB1	Dennd4a
REL	Dennd5a
NFKB	Dennd5a
NFKB	Derl1
NFKB	Dgat2
REL	Dgkh
RELA	Dgkh
NFKB	Dgkh
RELA	Dguok
REL	Dguok
NFKB1	Dguok
NFKB	Dguok
NFKB2	Dguok
NFKB	Dhdds
REL	Dhdds
RELA	Dhdds
NFKB	Dhps
REL	Dhps
RELA	Dhps
RELA	Dhrs13
NFKB	Dhrs13
NFKB	Dhrs7b
RELA	Dhrs7b
REL	Dhrs7b
NFKB	Dhx16
RELA	Dhx35
NFKB	Dhx35
NFKB	Dhx40
NFKB	Dicer1
RELA	Dis3l2
NFKB	Dis3l2
NFKB1	Dis3l2
NFKB	Dlgap4
NFKB1	Dlgap5
NFKB2	Dlgap5
NFKB	Dlgap5
NFKB	Dmap1
NFKB	Dmxl2
REL	Dmxl2
RELA	Dmxl2
RELA	Dnajb2
NFKB	Dnajb2
REL	Dnajb2
RELA	Dnajb6
REL	Dnajb6
NFKB	Dnajb6
NFKB2	Dnajc1
NFKB	Dnajc1
NFKB1	Dnajc1
NFKB	Dnajc16
NFKB	Dnajc18
NFKB1	Dnajc18
NFKB2	Dnajc18
RELA	Dnajc18
REL	Dnajc18
NFKB	Dnm1
RELA	Dnpep
REL	Dnpep
NFKB	Dnpep
RELA	Dock1
NFKB	Dock1
NFKB	Dock2
NFKB1	Dock2
REL	Dock2
NFKB	Dot1l
NFKB1	Dot1l
NFKB	Dpagt1
NFKB	Dph2
NFKB	Dpp3
NFKB1	Dpp3
NFKB2	Dpp3
RELA	Dpp3
NFKB	Dpp4
NFKB2	Dpp4
RELA	Dpp4
NFKB1	Dpp4
REL	Dpp4
NFKB	Dram1
NFKB1	Dram1
REL	Dram1
RELA	Dram1
NFKB	Dstyk
NFKB2	Dstyk
NFKB1	Dstyk
NFKB	Dtnbp1
NFKB	Dusp11
REL	Dusp18
NFKB	Dusp18
RELA	Dusp18
REL	Dusp2
RELA	Dusp2
NFKB	Dusp2
REL	Dusp22
RELA	Dusp22
NFKB1	Dusp22
NFKB	Dusp22
RELA	Dync2li1
NFKB	Dync2li1
NFKB1	Dyrk1b
NFKB	Dyrk1b
NFKB2	Dzip3
NFKB	Dzip3
NFKB1	Dzip3
RELA	E2f3
NFKB	E2f3
REL	Ebag9
RELA	Ebag9
NFKB	Ebag9
RELA	Ebf1
NFKB	Ebf1
REL	Ebi3
NFKB2	Ebi3
NFKB1	Ebi3
NFKB	Ebi3
NFKB	Ecd
REL	Ecscr
RELA	Ecscr
NFKB	Ecscr
NFKB2	Ecscr
NFKB1	Ecscr
NFKB	Edc4
REL	Edc4
RELA	Edc4
RELA	Edem1
NFKB	Edem1
NFKB	Eef1g
RELA	Eef1g
NFKB1	Eef1g
NFKB2	Eef1g
NFKB	Eef2k
NFKB2	Eef2k
NFKB	Eepd1
NFKB2	Eepd1
NFKB1	Eepd1
NFKB	Efhc1
NFKB	Efhd2
NFKB	Egr1
NFKB1	Egr1
NFKB	Egr2
RELA	Egr2
REL	Egr2
NFKB1	Eid2
NFKB	Eid2
NFKB1	Eid2b
NFKB	Eid2b
NFKB	Eif2ak2
NFKB	Eif2ak3
NFKB	Eif2b1
NFKB1	Eif3b
NFKB	Eif3b
RELA	Eif3b
REL	Eif3b
RELA	Eif3d
REL	Eif3d
NFKB	Eif3d
NFKB2	Eif4a1
NFKB1	Eif4a1
REL	Eif4a1
NFKB	Eif4a1
NFKB1	Eif4a2
REL	Eif4a2
NFKB	Eif4a2
NFKB1	Eif4a3
NFKB	Eif4a3
NFKB	Eif4ebp1
NFKB1	Eif4ebp1
REL	Eif4g2
NFKB	Eif4g2
RELA	Eif4g2
NFKB1	Eif4h
NFKB	Eif4h
NFKB2	Eif4h
NFKB	Elane
RELA	Elane
NFKB	Elk4
NFKB1	Elk4
NFKB2	Elk4
NFKB1	Ell
NFKB	Ell
NFKB2	Ell2
NFKB	Ell2
NFKB1	Ell2
NFKB1	Elmo1
REL	Elmo1
NFKB2	Elmo1
RELA	Elmo1
NFKB	Elmo1
NFKB1	Elovl2
NFKB2	Elovl2
NFKB	Elovl2
REL	Elovl2
RELA	Elovl2
NFKB	Elovl5
NFKB	Elovl6
RELA	Elovl6
REL	Elovl6
NFKB	Emilin2
NFKB2	Eml3
RELA	Eml3
NFKB1	Eml3
NFKB	Eml3
NFKB	Emp3
NFKB1	Emp3
NFKB2	Emp3
NFKB	Endov
NFKB1	Endov
NFKB	Eng
NFKB1	Eogt
NFKB	Eogt
NFKB	Epb41l2
REL	Epdr1
NFKB1	Epdr1
RELA	Epdr1
NFKB2	Epdr1
NFKB	Epdr1
NFKB	Ephx2
NFKB	Eps15l1
NFKB	Eral1
RELA	Eral1
NFKB1	Erap1
NFKB2	Erap1
NFKB	Erap1
NFKB	Eri3
NFKB1	Erlin2
